Stage.name;Stage.ID
SECOND MONTH OF GESTATION (COW);BtauDv:0000011
SIXTH MONTH OF GESTATION (COW);BtauDv:0000015
1-MONTH-OLD STAGE (COW);BtauDv:0000020
6-MONTH-OLD STAGE (COW);BtauDv:0000025
9-MONTH-OLD STAGE (COW);BtauDv:0000028
12-MONTH-OLD STAGE (COW);BtauDv:0000031
14-MONTH-OLD STAGE (COW);BtauDv:0000033
16-MONTH-OLD STAGE (COW);BtauDv:0000035
20-MONTH-OLD STAGE (COW);BtauDv:0000039
11-YEAR-OLD STAGE (COW);BtauDv:0000052
1-YEAR-OLD STAGE (CHICKEN);GgalDv:0000008
HAMBURGER HAMILTON STAGE 8 (CHICKEN);GgalDv:0000017
HAMBURGER HAMILTON STAGE 11 (CHICKEN);GgalDv:0000021
HAMBURGER HAMILTON STAGE 14 (CHICKEN);GgalDv:0000025
HAMBURGER HAMILTON STAGE 16 (CHICKEN);GgalDv:0000028
HAMBURGER HAMILTON STAGE 19 (CHICKEN);GgalDv:0000031
HAMBURGER HAMILTON STAGE 21 (CHICKEN);GgalDv:0000035
HAMBURGER HAMILTON STAGE 24 (CHICKEN);GgalDv:0000038
HAMBURGER HAMILTON STAGE 28 (CHICKEN);GgalDv:0000042
HAMBURGER HAMILTON STAGE 31 (CHICKEN);GgalDv:0000045
HAMBURGER HAMILTON STAGE 32 (CHICKEN);GgalDv:0000046
HAMBURGER HAMILTON STAGE 34 (CHICKEN);GgalDv:0000048
HAMBURGER HAMILTON STAGE 36 (CHICKEN);GgalDv:0000050
HAMBURGER HAMILTON STAGE 38 (CHICKEN);GgalDv:0000052
HAMBURGER HAMILTON STAGE 41 (CHICKEN);GgalDv:0000055
HAMBURGER HAMILTON STAGE 45 (CHICKEN);GgalDv:0000059
HAMBURGER HAMILTON STAGES 6 (CHICKEN);GgalDv:0000062
1-WEEK-OLD STAGE (CHICKEN);GgalDv:0000072
YOUNG ADULT STAGE (CHICKEN);GgalDv:0000078
5-MONTH-OLD STAGE (CHICKEN);GgalDv:0000081
10-MONTH-OLD STAGE (CHICKEN);GgalDv:0000086
CARNEGIE STAGE 13 (HUMAN);HsapDv:0000020
CARNEGIE STAGE 14 (HUMAN);HsapDv:0000021
CARNEGIE STAGE 15 (HUMAN);HsapDv:0000022
CARNEGIE STAGE 16 (HUMAN);HsapDv:0000023
CARNEGIE STAGE 17 (HUMAN);HsapDv:0000024
CARNEGIE STAGE 18 (HUMAN);HsapDv:0000025
CARNEGIE STAGE 19 (HUMAN);HsapDv:0000026
CARNEGIE STAGE 20 (HUMAN);HsapDv:0000027
CARNEGIE STAGE 21 (HUMAN);HsapDv:0000028
CARNEGIE STAGE 22 (HUMAN);HsapDv:0000029
CARNEGIE STAGE 23 (HUMAN);HsapDv:0000030
9TH WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000046
10TH WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000047
11TH WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000048
12TH WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000049
13TH WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000050
14TH WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000051
15TH WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000052
16TH WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000053
17TH WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000054
19TH WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000056
20TH WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000057
21ST WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000058
23RD WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000060
36TH WEEK POST-FERTILIZATION STAGE (HUMAN);HsapDv:0000073
2-YEAR-OLD STAGE (HUMAN);HsapDv:0000096
4-YEAR-OLD STAGE (HUMAN);HsapDv:0000098
7-YEAR-OLD STAGE (HUMAN);HsapDv:0000101
8-YEAR-OLD STAGE (HUMAN);HsapDv:0000102
13-YEAR-OLD STAGE (HUMAN);HsapDv:0000107
14-YEAR-OLD STAGE (HUMAN);HsapDv:0000108
15-YEAR-OLD STAGE (HUMAN);HsapDv:0000109
16-YEAR-OLD STAGE (HUMAN);HsapDv:0000110
17-YEAR-OLD STAGE (HUMAN);HsapDv:0000111
18-YEAR-OLD STAGE (HUMAN);HsapDv:0000112
19-YEAR-OLD STAGE (HUMAN);HsapDv:0000113
20-YEAR-OLD STAGE (HUMAN);HsapDv:0000114
