Anatomical.entity.name;Anatomical.entity.ID
ABDOMINAL LYMPH NODE;UBERON:0002507
ABDOMINAL OBLIQUE MUSCLE;UBERON:0035032
ABOMASUM;UBERON:0007358
ADDUCTOR MUSCLE;UBERON:0011145
ADENOHYPOPHYSIS;UBERON:0002196
ADIPOSE TISSUE;UBERON:0001013
ADIPOSE TISSUE OF ABDOMINAL REGION;UBERON:0007808
ADRENAL CORTEX;UBERON:0001235
ADRENAL GLAND;UBERON:0002369
ADRENAL MEDULLA;UBERON:0001236
ADRENAL TISSUE;UBERON:0018303
ADULT MAMMALIAN KIDNEY;UBERON:0000082
ALVEOLAR MACROPHAGE;CL:0000583
AMMON'S HORN;UBERON:0001954
AMPULLA OF UTERINE TUBE;UBERON:0012648
AMYGDALA;UBERON:0001876
ANGULAR GYRUS;UBERON:0002686
ANIMAL ZYGOTE;CL:0000365
ANNECTANT GYRUS;UBERON:0026137
ANTERIOR CINGULATE CORTEX;UBERON:0009835
ANTERIOR CINGULATE GYRUS;UBERON:0002756
ANTERIOR SEGMENT OF EYEBALL;UBERON:0001801
AORTA;UBERON:0000947
AORTIC VALVE;UBERON:0002137
APEX OF HEART;UBERON:0002098
ARCUATE SULCUS;UBERON:0034671
ARTICULAR CARTILAGE OF JOINT;UBERON:0010996
ASCENDING AORTA;UBERON:0001496
ASCENDING COLON;UBERON:0001156
AUTOPOD SKIN;UBERON:0015790
B CELL;CL:0000236
BASAL GANGLION;UBERON:0002420
BICEPS BRACHII;UBERON:0001507
BICEPS FEMORIS;UBERON:0001374
BLASTULA;UBERON:0000307
BLOOD;UBERON:0000178
BODY OF PANCREAS;UBERON:0001150
BODY OF STOMACH;UBERON:0001161
BODY OF UTERUS;UBERON:0009853
BONE ELEMENT;UBERON:0001474
BONE MARROW;UBERON:0002371
BONE MARROW CELL;CL:0002092
BONE TISSUE;UBERON:0002481
BRACHIOCEPHALIC MUSCLE;UBERON:0011368
BRAIN;UBERON:0000955
BRAIN BLOOD VESSEL;UBERON:0003499
BRAIN GRAY MATTER;UBERON:0003528
BRAINSTEM;UBERON:0002298
BREAST;UBERON:0000310
BRODMANN (1909) AREA 21;UBERON:0013552
BRODMANN (1909) AREA 22;UBERON:0013553
BRODMANN (1909) AREA 39;UBERON:0006480
BRODMANN (1909) AREA 40;UBERON:0013573
BRODMANN (1909) AREA 44;UBERON:0006481
BRODMANN (1909) AREA 45;UBERON:0006482
BRODMANN (1909) AREA 46;UBERON:0006483
BRODMANN (1909) AREA 47;UBERON:0006484
BRODMANN (1909) AREA 6;UBERON:0006472
BRODMANN (1909) AREA 9;UBERON:0013540
BRONCHIAL LYMPH NODE;UBERON:0016481
BROWN ADIPOSE TISSUE;UBERON:0001348
BULBO-URETHRAL GLAND;UBERON:0002366
BURSA OF FABRICIUS;UBERON:0003903
C1 SEGMENT OF CERVICAL SPINAL CORD;UBERON:0006469
CA1 FIELD OF HIPPOCAMPUS;UBERON:0003881
CA3 FIELD OF HIPPOCAMPUS;UBERON:0003883
CAECUM;UBERON:0001153
CALCANEAL TENDON;UBERON:0003701
CAMERA-TYPE EYE;UBERON:0000019
CAPUT EPIDIDYMIS;UBERON:0004358
CARDIAC ATRIUM;UBERON:0002081
CARDIAC MUSCLE OF LEFT ATRIUM;UBERON:0003380
CARDIAC MUSCLE OF LEFT VENTRICLE;UBERON:0003382
CARDIAC MUSCLE TISSUE OF LEFT AURICLE;UBERON:0009780
CARDIAC VENTRICLE;UBERON:0002082
CARTILAGE TISSUE;UBERON:0002418
CAUDA EPIDIDYMIS;UBERON:0004360
CAUDATE NUCLEUS;UBERON:0001873
CD4-POSITIVE HELPER T CELL;CL:0000492
CD8-POSITIVE, ALPHA-BETA T CELL;CL:0000625
CECAL TONSIL;UBERON:0013478
CENTRAL NERVOUS SYSTEM;UBERON:0001017
CEREBELLAR CORTEX;UBERON:0002129
CEREBELLAR HEMISPHERE;UBERON:0002245
CEREBELLAR VERMIS;UBERON:0004720
CEREBELLUM;UBERON:0002037
CEREBRAL CORTEX;UBERON:0000956
CEREBRAL HEMISPHERE;UBERON:0001869
CHORIONIC VILLUS;UBERON:0007106
CHOROID PLEXUS;UBERON:0001886
COLON;UBERON:0001155
COLONIC EPITHELIUM;UBERON:0000397
CONCEPTUS;UBERON:0004716
CORNEA;UBERON:0000964
CORPUS CALLOSUM;UBERON:0002336
CORPUS EPIDIDYMIS;UBERON:0004359
CORPUS LUTEUM;UBERON:0002512
CORTEX OF KIDNEY;UBERON:0001225
CORTICAL LAYER V;UBERON:0005394
CORTICAL PLATE;UBERON:0005343
CRICO-ARYTENOID MUSCLE;UBERON:0010932
CUMULUS CELL;CL:0000711
CUNEUS CORTEX;UBERON:0006092
DENTATE GYRUS OF HIPPOCAMPAL FORMATION;UBERON:0001885
DENTATE GYRUS OF HIPPOCAMPAL FORMATION GRANULE CELL;CL:2000089
DESCENDING COLON;UBERON:0001158
DESCENDING THORACIC AORTA;UBERON:0002345
DIAPHRAGM;UBERON:0001103
DIGESTIVE SYSTEM SECRETED SUBSTANCE;UBERON:0006911
DIGESTIVE TRACT;UBERON:0001555
DORSAL PLUS VENTRAL THALAMUS;UBERON:0001897
DORSAL ROOT GANGLION;UBERON:0000044
DORSAL THALAMUS;UBERON:0004703
DORSOLATERAL PREFRONTAL CORTEX;UBERON:0009834
DUODENUM;UBERON:0002114
EAR;UBERON:0001690
EARLY EMBRYO;UBERON:0019248
ECTOCERVIX;UBERON:0012249
ECTOPLACENTAL CONE;UBERON:0004364
EGG CELL;CL:0000025
EMBRYO;UBERON:0000922
EMBRYONIC BRAIN;UBERON:6001060
EMBRYONIC FACIAL PROMINENCE;UBERON:0012314
EMBRYONIC HEAD;UBERON:0008816
EMBRYONIC POST-ANAL TAIL;UBERON:0007144
ENDOCARDIAL ENDOTHELIUM;UBERON:0005316
ENDOCERVIX;UBERON:0000458
ENDOMETRIUM;UBERON:0001295
ENDOTHELIAL CELL;CL:0000115
EPIBLAST (GENERIC);UBERON:0002532
EPIDIDYMIS;UBERON:0001301
EPITHELIAL CELL OF ALVEOLUS OF LUNG;CL:0010003
EPITHELIUM OF BRONCHUS;UBERON:0002031
EPITHELIUM OF URETHRA;UBERON:0002325
ESOPHAGOGASTRIC JUNCTION MUSCULARIS PROPRIA;UBERON:0035841
ESOPHAGUS;UBERON:0001043
ESOPHAGUS MUCOSA;UBERON:0002469
EXTENSOR DIGITORUM COMMUNIS;UBERON:0007612
EXTENSOR DIGITORUM LATERALIS MUSCLE;UBERON:0007613
