gene_name,family,species_label,container,n_samples,mean_rel_exp,median_rel_exp,max_rel_exp
ABCB1,ABC,Human,BloodCells,498,0.03964935331900994,0.02969243928105319,0.32273332689950324
ABCB1,ABC,Human,Bone,15,0.04372350425640702,0.04307817017399652,0.08917863403241157
ABCB1,ABC,Human,Brain,1616,0.06714228268771733,0.051410695338542645,0.9146155177862778
ABCB1,ABC,Human,Breasts,41,0.04636388760248815,0.034911368053799095,0.15328240905635904
ABCB1,ABC,Human,Caecum,41,0.21215304732972298,0.05788834688787526,1
ABCB1,ABC,Human,Cartilage,13,0.031077582840658733,0.025742933833999046,0.06036418793480233
ABCB1,ABC,Human,ColonAscendens,41,0.21215304732972298,0.05788834688787526,1
ABCB1,ABC,Human,ColonDescendens,41,0.21215304732972298,0.05788834688787526,1
ABCB1,ABC,Human,ColonSigmoid,150,0.07411597216814579,0.01880783155639853,1
ABCB1,ABC,Human,ColonTransversum,163,0.10820650333989515,0.054453832158731875,1
ABCB1,ABC,Human,Duodenum,28,0.1888327376172885,0.06181462615615113,0.6765004932017042
ABCB1,ABC,Human,Embryo,49,0.03313137854817067,0.02736077778836095,0.10289662669258294
ABCB1,ABC,Human,Endometrium,161,0.060874577815692804,0.0409686725819172,0.3504252293503378
ABCB1,ABC,Human,Esophagus,20,0.0332571362521032,0.03198979453785995,0.05765094788173118
ABCB1,ABC,Human,Eye,47,0.12530798533999726,0.051971018416581846,0.40029678131584817
ABCB1,ABC,Human,Fat,770,0.020060072430043097,0.01585436544812498,0.16500293969319993
ABCB1,ABC,Human,GallBladder,7,0.20786545125180583,0.20206133586909691,0.2679400382422958
ABCB1,ABC,Human,Gonads,385,0.042619767944154334,0.0327876911560431,0.3921157058937663
ABCB1,ABC,Human,Heart,305,0.007235381572317228,0.005203843715332143,0.09757643808945751
ABCB1,ABC,Human,Kidney,105,0.17080444742207002,0.07147023325233272,0.7894448380843921
ABCB1,ABC,Human,LargeIntestine,281,0.07570010756431404,0.029108715485703214,1
ABCB1,ABC,Human,LowerIleum,24,0.19306981624848799,0.055701868769205,0.6765004932017042
ABCB1,ABC,Human,LowerJejunum,24,0.19306981624848799,0.055701868769205,0.6765004932017042
ABCB1,ABC,Human,Lung,67,0.04148675895942779,0.031664130954732424,0.31480700151347507
ABCB1,ABC,Human,LymphNode,103,0.17820464297597743,0.14572681619125563,0.5711355447641062
ABCB1,ABC,Human,Muscle,379,0.002854318022885103,0.0012786063504101723,0.2345874943939251
ABCB1,ABC,Human,Myometrium,58,0.08548552732163639,0.04222985156619355,0.6651545969785404
ABCB1,ABC,Human,Pancreas,141,0.061031399781763564,0.02387869619032506,0.33345429976996527
ABCB1,ABC,Human,Pericentral,133,0.048325062855545206,0.034327116521765386,0.24422091833983817
ABCB1,ABC,Human,Periportal,133,0.048325062855545206,0.034327116521765386,0.24422091833983817
ABCB1,ABC,Human,Placenta,10,0.04726743916031317,0.04643293586029122,0.07604093533185059
ABCB1,ABC,Human,Plasma,314,0.008773489663554243,0.007187138661343342,0.1213484756334392
ABCB1,ABC,Human,Rectum,40,0.23809352914862042,0.07512967749124887,1
ABCB1,ABC,Human,SalivaryGland,53,0.01502901476597166,0.013527268560948052,0.07399503288518207
ABCB1,ABC,Human,Skin,441,0.012638592107421964,0.009925825674634538,0.19517054823701915
ABCB1,ABC,Human,SmallIntestine,28,0.1888327376172885,0.06181462615615113,0.6765004932017042
ABCB1,ABC,Human,Spleen,88,0.05137942341749708,0.04527283470285677,0.14612206291167168
ABCB1,ABC,Human,Stomach,143,0.014067012639841133,0.011005735204056604,0.08190589103987889
ABCB1,ABC,Human,Thyroid,202,0.036092689349312763,0.03089382116472417,0.16627091671349906
ABCB1,ABC,Human,Undefined,319,0.05163784868030526,0.04555733362218862,0.21923123960764385
ABCB1,ABC,Human,UpperIleum,24,0.19306981624848799,0.055701868769205,0.6765004932017042
ABCB1,ABC,Human,UpperJejunum,24,0.19306981624848799,0.055701868769205,0.6765004932017042
ABCB1,ABC,Macaque,BloodCells,2,0.02477554335431273,0.02477554335431273,0.027268975207539504
ABCB1,ABC,Macaque,Brain,634,0.04056356479920055,0.03276730141520852,0.37993204922801455
ABCB1,ABC,Macaque,Caecum,3,0.3340709415771328,0.29899404932768897,0.5691039453494106
ABCB1,ABC,Macaque,ColonAscendens,3,0.3340709415771328,0.29899404932768897,0.5691039453494106
ABCB1,ABC,Macaque,ColonDescendens,3,0.3340709415771328,0.29899404932768897,0.5691039453494106
ABCB1,ABC,Macaque,ColonSigmoid,3,0.3340709415771328,0.29899404932768897,0.5691039453494106
ABCB1,ABC,Macaque,ColonTransversum,3,0.3340709415771328,0.29899404932768897,0.5691039453494106
ABCB1,ABC,Macaque,Eye,12,0.027013922367055847,0.027729523399067466,0.0461522303921879
ABCB1,ABC,Macaque,Fat,1,0.0014613016118617736,0.0014613016118617736,0.0014613016118617736
ABCB1,ABC,Macaque,Fibroblast,10,0.3294748045210312,0.35130306400218636,0.5329195893291712
ABCB1,ABC,Macaque,Gonads,48,0.06100721114389039,0.045832592735102595,0.3001919296694643
ABCB1,ABC,Macaque,Heart,46,0.015921057689031144,0.008234997037277248,0.18447264956008028
ABCB1,ABC,Macaque,Kidney,58,0.04656997431528402,0.03671666182921015,0.23424573270481536
ABCB1,ABC,Macaque,LargeIntestine,3,0.3340709415771328,0.29899404932768897,0.5691039453494106
ABCB1,ABC,Macaque,LowerIleum,1,0.19103886027404782,0.19103886027404782,0.19103886027404782
ABCB1,ABC,Macaque,Lung,11,0.12180083367193995,0.09933969540737421,0.255288814751099
ABCB1,ABC,Macaque,Muscle,16,0.01603850294860315,0.01288832372133792,0.044739726192978134
ABCB1,ABC,Macaque,Pericentral,85,0.2364585358141097,0.19589396312512183,1
ABCB1,ABC,Macaque,Periportal,85,0.2364585358141097,0.19589396312512183,1
ABCB1,ABC,Macaque,Rectum,3,0.3340709415771328,0.29899404932768897,0.5691039453494106
ABCB1,ABC,Macaque,SmallIntestine,1,0.19103886027404782,0.19103886027404782,0.19103886027404782
ABCB1,ABC,Macaque,Spleen,7,0.11869169228509173,0.11405721750217696,0.24854342028632076
ABCB1,ABC,Macaque,Undefined,32,0.03002764254763629,0.0245609930688358,0.07498111061629362
ABCB1,ABC,Macaque,UpperIleum,1,0.19103886027404782,0.19103886027404782,0.19103886027404782
