Experiment.ID,Library.ID,Library.type,Gene.ID,Anatomical.entity.ID,Anatomical.entity.name,Stage.ID,Stage.name,Sex,Strain,Read.count,TPM,FPKM,Rank,Detection.flag,pValue,State.in.Bgee
GSE30611,ERX011211,single,ENSG00000000003,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,8729.9353,42.302667,39.373125,1490,present,2.64185413407473e-14,Part of a call
GSE30611,ERX011211,single,ENSG00000000005,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,0,0,0,32341,absent,1,Part of a call
GSE30611,ERX011211,single,ENSG00000000419,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,1232.9984,20.287141,18.882217,2795,present,2.71095374131153e-12,Part of a call
GSE30611,ERX011211,single,ENSG00000000457,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,892.25883,2.959166,2.754238,8811,present,7.9420093406038e-8,Part of a call
GSE30611,ERX011211,single,ENSG00000000460,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,282.0086,1.122282,1.044562,11896,present,5.16933106336888e-6,Part of a call
GSE30611,ERX011211,single,ENSG00000000938,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,425.00019,3.108334,2.893076,8629,present,6.31235070218517e-8,Part of a call
GSE30611,ERX011211,single,ENSG00000000971,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,123544.4369,569.666984,530.21643099999994,154,present,8.6812375e-23,Part of a call
GSE30611,ERX011211,single,ENSG00000001036,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,3341.962,22.949546,21.360245,2531,present,1.28078705075579e-12,Part of a call
GSE30611,ERX011211,single,ENSG00000001084,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,6578.59504,30.43843,28.330509,2009,present,2.20656207758721e-13,Part of a call
GSE30611,ERX011211,single,ENSG00000001167,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,567.9264,2.506023,2.332476,9363,present,1.70391828098201e-7,Part of a call
GSE30611,ERX011211,single,ENSG00000001460,0002107,liver,HsapDv:0000131,37-year-old stage,male,White,82.515701,0.472159,0.439461,14557,present,1.22729135634256e-4,Part of a call
