container	tissue
BloodCells	ALVEOLAR MACROPHAGE
BloodCells	B CELL
BloodCells	BLOOD
BloodCells	CD4-POSITIVE HELPER T CELL
BloodCells	CD8-POSITIVE, ALPHA-BETA T CELL
BloodCells	ENDOTHELIAL CELL
BloodCells	GAMMA-DELTA T CELL
BloodCells	GRANULOCYTE
BloodCells	GRANULOSA CELL
BloodCells	LEUKOCYTE
BloodCells	MONOCYTE
BloodCells	MYELOID CELL
BloodCells	NATURAL KILLER CELL
BloodCells	NEUTROPHIL
BloodCells	T CELL
BloodCells	THECA CELL
Bone	BONE ELEMENT
Bone	BONE MARROW
Bone	BONE MARROW CELL
Bone	BONE TISSUE
Brain	ADENOHYPOPHYSIS
Brain	AMMON'S HORN
Brain	AMYGDALA
Brain	ANGULAR GYRUS
Brain	ANNECTANT GYRUS
Brain	ANTERIOR CINGULATE CORTEX
Brain	ANTERIOR CINGULATE GYRUS
Brain	ARCUATE SULCUS
Brain	BASAL GANGLION
Brain	BRAIN
Brain	BRAIN BLOOD VESSEL
Brain	BRAIN GRAY MATTER
Brain	BRAINSTEM
Brain	BRODMANN (1909) AREA 21
Brain	BRODMANN (1909) AREA 22
Brain	BRODMANN (1909) AREA 39
Brain	BRODMANN (1909) AREA 40
Brain	BRODMANN (1909) AREA 44
Brain	BRODMANN (1909) AREA 45
Brain	BRODMANN (1909) AREA 46
Brain	BRODMANN (1909) AREA 47
Brain	BRODMANN (1909) AREA 6
Brain	BRODMANN (1909) AREA 9
Brain	C1 SEGMENT OF CERVICAL SPINAL CORD
Brain	CA1 FIELD OF HIPPOCAMPUS
Brain	CA3 FIELD OF HIPPOCAMPUS
Brain	CAUDATE NUCLEUS
Brain	CENTRAL NERVOUS SYSTEM
Brain	CEREBELLAR CORTEX
Brain	CEREBELLAR HEMISPHERE
Brain	CEREBELLAR VERMIS
Brain	CEREBELLUM
Brain	CEREBRAL CORTEX
Brain	CEREBRAL HEMISPHERE
Brain	CHOROID PLEXUS
Brain	CORPUS CALLOSUM
Brain	CORTICAL LAYER V
Brain	CUNEUS CORTEX
Brain	DENTATE GYRUS OF HIPPOCAMPAL FORMATION
Brain	DENTATE GYRUS OF HIPPOCAMPAL FORMATION GRANULE CELL
Brain	DORSAL PLUS VENTRAL THALAMUS
Brain	DORSAL ROOT GANGLION
Brain	DORSAL THALAMUS
Brain	DORSOLATERAL PREFRONTAL CORTEX
Brain	FLOOR PLATE OF DIENCEPHALON
Brain	FOREBRAIN
Brain	FRONTAL CORTEX
Brain	FRONTAL LOBE
Brain	FUSIFORM GYRUS
Brain	GLOBUS PALLIDUS
Brain	HINDBRAIN
Brain	HIPPOCAMPAL FORMATION
Brain	HYPOTHALAMUS
Brain	INFERIOR FRONTAL GYRUS
Brain	INFERIOR OCCIPITAL GYRUS
Brain	INFERIOR TEMPORAL GYRUS
Brain	INSULA
Brain	INTRAPARIETAL SULCUS
Brain	LATERAL AMYGDALOID NUCLEUS
Brain	LINGUAL GYRUS
Brain	LUMBAR SPINAL CORD
Brain	MEDIAL ORBITAL GYRUS
Brain	MEDIAN EMINENCE OF NEUROHYPOPHYSIS
Brain	MEDULLA OBLONGATA
Brain	MIDBRAIN
Brain	MIDDLE FRONTAL GYRUS
Brain	NEOCORTEX
Brain	NEUROHYPOPHYSIS
Brain	NUCLEUS ACCUMBENS
Brain	OCCIPITAL CORTEX
Brain	OCCIPITAL LOBE
Brain	PARAHIPPOCAMPAL GYRUS
Brain	PARIETAL CORTEX
Brain	PINEAL BODY
Brain	PITUITARY GLAND
Brain	POSTCENTRAL GYRUS
Brain	POSTERIOR CINGULATE GYRUS
Brain	PRECENTRAL GYRUS
Brain	PRECUNEUS CORTEX
Brain	PREFRONTAL CORTEX
Brain	PREMOTOR CORTEX
Brain	PRIMARY MOTOR CORTEX
Brain	PRIMARY VISUAL CORTEX
Brain	PUTAMEN
Brain	RIGHT FRONTAL LOBE
Brain	RIGHT HEMISPHERE OF CEREBELLUM
Brain	SPINAL CORD
Brain	STRIATUM
Brain	SUBSTANTIA NIGRA
Brain	SUPERIOR FRONTAL GYRUS
Brain	SUPERIOR OCCIPITAL GYRUS
Brain	SUPERIOR PARIETAL CORTEX
Brain	SUPERIOR TEMPORAL GYRUS
Brain	TELENCEPHALON
Brain	TEMPORAL CORTEX
Brain	TEMPORAL LOBE
Brain	VENTRAL TEGMENTAL AREA
Brain	VENTRICULAR ZONE
Brain	WHITE MATTER OF FRONTAL LOBE
Breasts	BREAST
Breasts	MAMMARY GLAND
Breasts	PARENCHYMA OF MAMMARY GLAND
Breasts	THORACIC MAMMARY GLAND
Caecum	CAECUM
Caecum	CECAL TONSIL
Caecum	COLON
Caecum	COLONIC EPITHELIUM
Caecum	DIGESTIVE TRACT
Caecum	INTESTINE
Caecum	LARGE INTESTINE
Cartilage	ARTICULAR CARTILAGE OF JOINT
Cartilage	CARTILAGE TISSUE
Cartilage	LARYNGEAL CARTILAGE
Cartilage	LAYER OF SYNOVIAL TISSUE
ColonAscendens	ASCENDING COLON
ColonAscendens	COLON
ColonAscendens	COLONIC EPITHELIUM
ColonAscendens	DIGESTIVE TRACT
ColonAscendens	INTESTINE
ColonAscendens	LARGE INTESTINE
ColonAscendens	SPIRAL COLON
ColonDescendens	COLON
ColonDescendens	COLONIC EPITHELIUM
ColonDescendens	DESCENDING COLON
ColonDescendens	DIGESTIVE TRACT
ColonDescendens	INTESTINE
ColonDescendens	LARGE INTESTINE
ColonSigmoid	COLON
ColonSigmoid	COLONIC EPITHELIUM
ColonSigmoid	DIGESTIVE TRACT
ColonSigmoid	INTESTINE
ColonSigmoid	LARGE INTESTINE
ColonSigmoid	MUSCLE LAYER OF SIGMOID COLON
ColonSigmoid	SIGMOID COLON
ColonTransversum	COLON
ColonTransversum	COLONIC EPITHELIUM
ColonTransversum	DIGESTIVE TRACT
ColonTransversum	INTESTINE
ColonTransversum	LARGE INTESTINE
ColonTransversum	MUCOSA OF TRANSVERSE COLON
ColonTransversum	TRANSVERSE COLON
Duodenum	DIGESTIVE TRACT
Duodenum	DUODENUM
Duodenum	INTESTINE
Duodenum	SMALL INTESTINE
Egg	EGG CELL
Egg	MATURE OVARIAN FOLLICLE
Egg	OOCYTE
Egg	PRIMARY OOCYTE
Egg	SECONDARY OOCYTE
Embryo	ANIMAL ZYGOTE
Embryo	BLASTULA
Embryo	CONCEPTUS
Embryo	EARLY EMBRYO
Embryo	ECTOCERVIX
Embryo	EMBRYO
Embryo	EMBRYONIC BRAIN
Embryo	EMBRYONIC FACIAL PROMINENCE
Embryo	EMBRYONIC HEAD
Embryo	EMBRYONIC POST-ANAL TAIL
Embryo	FORELIMB BUD
Embryo	GANGLIONIC EMINENCE
Embryo	GASTRULA
Embryo	HINDLIMB BUD
Embryo	HINDLIMB STYLOPOD
Embryo	LATE EMBRYO
Embryo	LATERAL GANGLIONIC EMINENCE
Embryo	LATERAL NASAL PROMINENCE
Embryo	MEDIAL GANGLIONIC EMINENCE
Embryo	MEDIAL NASAL PROMINENCE
Embryo	METANEPHROS CORTEX
Embryo	OMENTUM
Embryo	UNDIFFERENTIATED GENITAL TUBERCLE
Embryo	UTERINE TUBE INFUNDIBULUM
Embryo	YOLK SAC
Endometrium	BODY OF UTERUS
Endometrium	ENDOCERVIX
Endometrium	ENDOMETRIUM
Endometrium	LEFT OVARY
Endometrium	LEFT UTERINE TUBE
Endometrium	RIGHT OVARY
Endometrium	RIGHT UTERINE TUBE
Endometrium	STROMAL CELL OF ENDOMETRIUM
Endometrium	UTERINE CERVIX
Esophagus	ESOPHAGUS
Esophagus	LOWER ESOPHAGUS
Esophagus	THORACIC PART OF ESOPHAGUS
Esophagus - Mucosa	ESOPHAGUS MUCOSA
Esophagus - Mucosa	LOWER ESOPHAGUS MUCOSA
Esophagus - Mucosa	LOWER ESOPHAGUS MUSCULARIS LAYER
Eye	ANTERIOR SEGMENT OF EYEBALL
Eye	CAMERA-TYPE EYE
Eye	CORNEA
Eye	EYE
Eye	EYEBALL OF CAMERA-TYPE EYE
Eye	LAYER OF RETINA
Eye	LENS OF CAMERA-TYPE EYE
Eye	MACULA LUTEA
Eye	PERIPHERAL REGION OF RETINA
Eye	PIGMENT EPITHELIUM OF EYE
Eye	RETINA
Eye	RETINAL NEURAL LAYER
Fat	ADIPOSE TISSUE
Fat	ADIPOSE TISSUE OF ABDOMINAL REGION
Fat	INTRAMUSCULAR ADIPOSE TISSUE
Fat	MAMMARY GLAND FAT
Fat	OMENTAL FAT PAD
Fat	SUBCUTANEOUS ABDOMINAL ADIPOSE TISSUE
Fat	SUBCUTANEOUS ADIPOSE TISSUE
Fat	TAIL FAT PAD
Fibroblast	FIBROBLAST
GallBladder	GALL BLADDER
Gonads	AMPULLA OF UTERINE TUBE
Gonads	BULBO-URETHRAL GLAND
Gonads	CAPUT EPIDIDYMIS
Gonads	CAUDA EPIDIDYMIS
