"TABLE_NAME"	"COLUMN_NAME"	"GERMAN"	"ENGLISH"	"TOOLTIP_GERMAN"	"TOOLTIP_ENGLISH"	"DIMENSION_TYPE"	"HIDDEN"	"EDITABLE"
"TAB_DTS_PROPERTIES"	"COLUMN_NAME"	"leer"	"empty"	"Name der Spalte."	"Name of the column."	""	0	0
"TAB_DTS_PROPERTIES"	"DIMENSION_TYPE"	"leer"	"empty"	"Dimension der Werte dieser Spalte."	"Dimension type of values of that column."	""	0	1
"TAB_DTS_PROPERTIES"	"EDITABLE"	"leer"	"empty"	"Soll die Spalte bearbeitbar sein?"	"Shall the column be editable?"	""	0	1
"TAB_DTS_PROPERTIES"	"ENGLISH"	"leer"	"empty"	"Name der Spalte in einer englischen Oberfläche."	"Name of the column in an english GUI."	""	0	1
"TAB_DTS_PROPERTIES"	"GERMAN"	"leer"	"empty"	"Name der Spalte in einer deutschen Oberfläche."	"Name of the column in a german GUI."	""	0	1
"TAB_DTS_PROPERTIES"	"HIDDEN"	"leer"	"empty"	"Soll die Spalte versteckt werden?"	"Shall the column be hidden?"	""	0	1
"TAB_DTS_PROPERTIES"	"TABLE_NAME"	"leer"	"empty"	"Name der Tabelle."	"Name of the table."	""	0	0
"TAB_DTS_PROPERTIES"	"TOOLTIP_ENGLISH"	"leer"	"empty"	"ToolTip in englisch."	"ToolTip in english."	""	0	1
"TAB_DTS_PROPERTIES"	"TOOLTIP_GERMAN"	"leer"	"empty"	"ToolTip in deutsch."	"ToolTip in german."	""	0	1
"TAB_EXPRESSION_DATA_AGE_PROPERTIES"	"AGE_ID"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_AGE_PROPERTIES"	"PROPERTY"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_AGE_PROPERTIES"	"PROPERTY_VALUE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_AGES"	"AGE_ID"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_AGES"	"AGE_MAX"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_AGES"	"AGE_MEAN"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_AGES"	"AGE_MEDIAN"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_AGES"	"AGE_MIN"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_BASES"	"DATA_BASE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_BASES"	"DATA_SOURCE_URL_PATTERN"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_BASES"	"URL"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_GENDER_PROPERTIES"	"GENDER"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_GENDER_PROPERTIES"	"PROPERTY"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_GENDER_PROPERTIES"	"PROPERTY_VALUE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_GENDERS"	"GENDER"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_GENDERS"	"INFORMATION"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_HEALTH_STATE"	"HEALTH_STATE"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_HEALTH_STATE"	"INFORMATION"	"leer"	"empty"	""	""	""	0	1
"TAB_EXPRESSION_DATA_HEALTH_STATE_PROPERTIES"	"HEALTH_STATE"	"leer"	"empty"	""	""	""	0	1
